2022-23 season:,Thu Oct 20 2022,at Mtl,"Montreal 6, Arizona 2  ",,,
2022-23 season:,Thu Oct 20 2022,at Cgy,"Buffalo 6, Calgary 3  ",,,
2022-23 season:,Thu Oct 20 2022,at Edm,"Edmonton 6, Carolina 4  ",,,
2022-23 season:,Thu Oct 20 2022,at Tor,"Toronto 3, Dallas 2 (OT)",,,
2022-23 season:,Thu Oct 20 2022,at Pit,"Pittsburgh 6, Los Angeles 1  ",,,
2022-23 season:,Thu Oct 20 2022,at NYI,"New Jersey 4, NY Islanders 1  ",,,
2022-23 season:,Thu Oct 20 2022,at Cbs,"Columbus 5, Nashville 3  ",,,
2022-23 season:,Thu Oct 20 2022,at NYR,"San Jose 3, NY Rangers 2 (OT)",,,
2022-23 season:,Thu Oct 20 2022,at Min,"Minnesota 4, Vancouver 3 (OT)",,,
2022-23 season:,Thu Oct 20 2022,at VGK,"Vegas 5, Winnipeg 2  ",,,
2022-23 season:,Thu Oct 20 2022,at Ott,"Ottawa 5, Washington 2  ",,,
2022-23 season:,Fri Oct 21 2022,at Chi,"Chicago 4, Detroit 3 (OT)",,,
2022-23 season:,Fri Oct 21 2022,at Col,"Seattle 3, Colorado 2  ",,,
2022-23 season:,Fri Oct 21 2022,at Fla,"Tampa Bay 3, Florida 2 (OT)",,,
2022-23 season:,Sat Oct 22 2022,at Ott,"Ottawa 6, Arizona 2  ",,,
2022-23 season:,Sat Oct 22 2022,at Van,"Buffalo 5, Vancouver 1  ",,,
2022-23 season:,Sat Oct 22 2022,at Cgy,"Calgary 3, Carolina 2 (OT)",,,
2022-23 season:,Sat Oct 22 2022,at VGK,"Colorado 3, Vegas 2  ",,,
2022-23 season:,Sat Oct 22 2022,at Mtl,"Dallas 5, Montreal 2  ",,,
2022-23 season:,Sat Oct 22 2022,at Wsh,"Washington 4, Los Angeles 3  ",,,
2022-23 season:,Sat Oct 22 2022,at Bos,"Boston 4, Minnesota 3 (OT)",,,
2022-23 season:,Sat Oct 22 2022,at TB,"Tampa Bay 5, NY Islanders 3  ",,,
2022-23 season:,Sat Oct 22 2022,at Nsh,"Philadelphia 3, Nashville 1  ",,,
2022-23 season:,Sat Oct 22 2022,at Cbs,"Pittsburgh 6, Columbus 3  ",,,
2022-23 season:,Sat Oct 22 2022,at NJ,"New Jersey 2, San Jose 1  ",,,
2022-23 season:,Sat Oct 22 2022,at Edm,"St Louis 2, Edmonton 0  ",,,
2022-23 season:,Sat Oct 22 2022,at Wpg,"Toronto 4, Winnipeg 1  ",,,
2022-23 season:,Sun Oct 23 2022,at Det,"Detroit 5, Anaheim 1  ",,,
2022-23 season:,Sun Oct 23 2022,at NYR,"Columbus 5, NY Rangers 1  ",,,
2022-23 season:,Sun Oct 23 2022,at Fla,"Florida 3, NY Islanders 2  ",,,
2022-23 season:,Sun Oct 23 2022,at Phi,"San Jose 3, Philadelphia 0  ",,,
2022-23 season:,Sun Oct 23 2022,at Chi,"Chicago 5, Seattle 4  ",,,
2022-23 season:,Mon Oct 24 2022,at Van,"Carolina 3, Vancouver 2  ",,,
2022-23 season:,Mon Oct 24 2022,at Ott,"Ottawa 4, Dallas 2  ",,,
2022-23 season:,Mon Oct 24 2022,at Edm,"Edmonton 6, Pittsburgh 3  ",,,
2022-23 season:,Mon Oct 24 2022,at Wpg,"Winnipeg 4, St Louis 0  ",,,
2022-23 season:,Mon Oct 24 2022,at VGK,"Vegas 3, Toronto 1  ",,,
2022-23 season:,Mon Oct 24 2022,at NJ,"Washington 6, New Jersey 3  ",,,
2022-23 season:,Tue Oct 25 2022,at Cbs,"Arizona 6, Columbus 3  ",,,
2022-23 season:,Tue Oct 25 2022,at Sea,"Seattle 5, Buffalo 1  ",,,
2022-23 season:,Tue Oct 25 2022,at NYR,"Colorado 3, NY Rangers 2 (SO)",,,
2022-23 season:,Tue Oct 25 2022,at Bos,"Boston 3, Dallas 1  ",,,
2022-23 season:,Tue Oct 25 2022,at Chi,"Chicago 4, Florida 2  ",,,
2022-23 season:,Tue Oct 25 2022,at Mtl,"Minnesota 3, Montreal 1  ",,,
2022-23 season:,Tue Oct 25 2022,at Det,"New Jersey 6, Detroit 2  ",,,
2022-23 season:,Tue Oct 25 2022,at Cgy,"Calgary 4, Pittsburgh 1  ",,,
